dataset,feature,model,variant,split,random,majority,accuracy,duration
insurance,SEX,XGBoost,Optimal,Train,0.5000547411414311,0.5052316890881914,0.5158878504672897,2.564269781112671
insurance,SEX,XGBoost,Optimal,Test,0.5000547411414311,0.5052316890881914,0.4925373134328358,0.3508179187774658
insurance,SEX,XGBoost,Underfit,Train,0.5000547411414311,0.5052316890881914,0.4953271028037383,0.9215562343597412
insurance,SEX,XGBoost,Underfit,Test,0.5000547411414311,0.5052316890881914,0.4925373134328358,0.24567723274230957
insurance,SEX,XGBoost,Overfit,Train,0.5000547411414311,0.5052316890881914,0.5355140186915888,1.1641862392425537
insurance,SEX,XGBoost,Overfit,Test,0.5000547411414311,0.5052316890881914,0.5335820895522388,0.35367655754089355
insurance,SEX,Decision Tree,Optimal,Train,0.5000547411414311,0.5052316890881914,0.4953271028037383,0.7300832271575928
insurance,SEX,Decision Tree,Optimal,Test,0.5000547411414311,0.5052316890881914,0.48134328358208955,0.17890405654907227
insurance,SEX,Decision Tree,Underfit,Train,0.5000547411414311,0.5052316890881914,0.4953271028037383,0.713289737701416
insurance,SEX,Decision Tree,Underfit,Test,0.5000547411414311,0.5052316890881914,0.4925373134328358,0.18426966667175293
insurance,SEX,Decision Tree,Overfit,Train,0.5000547411414311,0.5052316890881914,0.4934579439252336,0.7169399261474609
insurance,SEX,Decision Tree,Overfit,Test,0.5000547411414311,0.5052316890881914,0.5261194029850746,0.1864759922027588
insurance,SEX,Random Forest,Optimal,Train,0.5000547411414311,0.5052316890881914,0.6056074766355141,20.085320234298706
insurance,SEX,Random Forest,Optimal,Test,0.5000547411414311,0.5052316890881914,0.5111940298507462,5.16820764541626
insurance,SEX,Random Forest,Underfit,Train,0.5000547411414311,0.5052316890881914,0.5560747663551402,3.8453519344329834
insurance,SEX,Random Forest,Underfit,Test,0.5000547411414311,0.5052316890881914,0.5373134328358209,1.2401084899902344
insurance,SEX,Random Forest,Overfit,Train,0.5000547411414311,0.5052316890881914,0.602803738317757,31.409928798675537
insurance,SEX,Random Forest,Overfit,Test,0.5000547411414311,0.5052316890881914,0.5223880597014925,8.074148893356323
insurance,SMOKER,XGBoost,Optimal,Train,0.6743058488116704,0.7952167414050823,0.31121495327102805,0.9779403209686279
insurance,SMOKER,XGBoost,Optimal,Test,0.6743058488116704,0.7952167414050823,0.29850746268656714,0.2986416816711426
insurance,SMOKER,XGBoost,Underfit,Train,0.6743058488116704,0.7952167414050823,0.44485981308411215,0.9298501014709473
insurance,SMOKER,XGBoost,Underfit,Test,0.6743058488116704,0.7952167414050823,0.4626865671641791,0.2511262893676758
insurance,SMOKER,XGBoost,Overfit,Train,0.6743058488116704,0.7952167414050823,0.397196261682243,1.2634851932525635
insurance,SMOKER,XGBoost,Overfit,Test,0.6743058488116704,0.7952167414050823,0.3358208955223881,0.3858511447906494
insurance,SMOKER,Decision Tree,Optimal,Train,0.6743058488116704,0.7952167414050823,0.28130841121495326,0.6841850280761719
insurance,SMOKER,Decision Tree,Optimal,Test,0.6743058488116704,0.7952167414050823,0.26119402985074625,0.2007596492767334
insurance,SMOKER,Decision Tree,Underfit,Train,0.6743058488116704,0.7952167414050823,0.28130841121495326,0.7030377388000488
insurance,SMOKER,Decision Tree,Underfit,Test,0.6743058488116704,0.7952167414050823,0.2947761194029851,0.1775505542755127
insurance,SMOKER,Decision Tree,Overfit,Train,0.6743058488116704,0.7952167414050823,0.26635514018691586,0.710845947265625
insurance,SMOKER,Decision Tree,Overfit,Test,0.6743058488116704,0.7952167414050823,0.27238805970149255,0.17854928970336914
insurance,SMOKER,Random Forest,Optimal,Train,0.6743058488116704,0.7952167414050823,0.38691588785046727,15.50565481185913
insurance,SMOKER,Random Forest,Optimal,Test,0.6743058488116704,0.7952167414050823,0.35074626865671643,4.059577941894531
insurance,SMOKER,Random Forest,Underfit,Train,0.6743058488116704,0.7952167414050823,0.305607476635514,3.929790735244751
insurance,SMOKER,Random Forest,Underfit,Test,0.6743058488116704,0.7952167414050823,0.29850746268656714,1.2664568424224854
insurance,SMOKER,Random Forest,Overfit,Train,0.6743058488116704,0.7952167414050823,0.4981308411214953,31.424240827560425
insurance,SMOKER,Random Forest,Overfit,Test,0.6743058488116704,0.7952167414050823,0.44776119402985076,8.124451398849487
insurance,REGION,XGBoost,Optimal,Train,0.2506485149510346,0.27204783258594917,0.26635514018691586,1.0039372444152832
insurance,REGION,XGBoost,Optimal,Test,0.2506485149510346,0.27204783258594917,0.25,0.3213362693786621
insurance,REGION,XGBoost,Underfit,Train,0.2506485149510346,0.27204783258594917,0.24299065420560748,1.00537109375
insurance,REGION,XGBoost,Underfit,Test,0.2506485149510346,0.27204783258594917,0.24253731343283583,0.26142120361328125
insurance,REGION,XGBoost,Overfit,Train,0.2506485149510346,0.27204783258594917,0.2738317757009346,1.2536938190460205
insurance,REGION,XGBoost,Overfit,Test,0.2506485149510346,0.27204783258594917,0.2462686567164179,0.40436768531799316
insurance,REGION,Decision Tree,Optimal,Train,0.2506485149510346,0.27204783258594917,0.24485981308411214,0.7312073707580566
insurance,REGION,Decision Tree,Optimal,Test,0.2506485149510346,0.27204783258594917,0.23880597014925373,0.19263172149658203
insurance,REGION,Decision Tree,Underfit,Train,0.2506485149510346,0.27204783258594917,0.24299065420560748,0.7266559600830078
insurance,REGION,Decision Tree,Underfit,Test,0.2506485149510346,0.27204783258594917,0.24253731343283583,0.19075942039489746
insurance,REGION,Decision Tree,Overfit,Train,0.2506485149510346,0.27204783258594917,0.2560747663551402,0.7317163944244385
insurance,REGION,Decision Tree,Overfit,Test,0.2506485149510346,0.27204783258594917,0.26492537313432835,0.19123554229736328
insurance,REGION,Random Forest,Optimal,Train,0.2506485149510346,0.27204783258594917,0.38037383177570094,15.410605192184448
insurance,REGION,Random Forest,Optimal,Test,0.2506485149510346,0.27204783258594917,0.25,3.950547695159912
insurance,REGION,Random Forest,Underfit,Train,0.2506485149510346,0.27204783258594917,0.33271028037383177,3.9177932739257812
insurance,REGION,Random Forest,Underfit,Test,0.2506485149510346,0.27204783258594917,0.22761194029850745,1.2961516380310059
insurance,REGION,Random Forest,Overfit,Train,0.2506485149510346,0.27204783258594917,0.4130841121495327,31.31005334854126
insurance,REGION,Random Forest,Overfit,Test,0.2506485149510346,0.27204783258594917,0.26865671641791045,8.13001275062561
insurance,BMI_CATEGORY,XGBoost,Optimal,Train,0.3945484526131633,0.5351270553064275,0.16728971962616823,1.0194687843322754
insurance,BMI_CATEGORY,XGBoost,Optimal,Test,0.3945484526131633,0.5351270553064275,0.11567164179104478,0.30194902420043945
insurance,BMI_CATEGORY,XGBoost,Underfit,Train,0.3945484526131633,0.5351270553064275,0.28317757009345795,0.9576449394226074
insurance,BMI_CATEGORY,XGBoost,Underfit,Test,0.3945484526131633,0.5351270553064275,0.2873134328358209,0.29860472679138184
insurance,BMI_CATEGORY,XGBoost,Overfit,Train,0.3945484526131633,0.5351270553064275,0.32897196261682243,1.2662923336029053
insurance,BMI_CATEGORY,XGBoost,Overfit,Test,0.3945484526131633,0.5351270553064275,0.23507462686567165,0.398160457611084
insurance,BMI_CATEGORY,Decision Tree,Optimal,Train,0.3945484526131633,0.5351270553064275,0.3149532710280374,0.7138221263885498
insurance,BMI_CATEGORY,Decision Tree,Optimal,Test,0.3945484526131633,0.5351270553064275,0.31716417910447764,0.21036267280578613
insurance,BMI_CATEGORY,Decision Tree,Underfit,Train,0.3945484526131633,0.5351270553064275,0.34205607476635513,0.7101101875305176
insurance,BMI_CATEGORY,Decision Tree,Underfit,Test,0.3945484526131633,0.5351270553064275,0.332089552238806,0.20758485794067383
insurance,BMI_CATEGORY,Decision Tree,Overfit,Train,0.3945484526131633,0.5351270553064275,0.3280373831775701,0.7214062213897705
insurance,BMI_CATEGORY,Decision Tree,Overfit,Test,0.3945484526131633,0.5351270553064275,0.34328358208955223,0.19265270233154297
insurance,BMI_CATEGORY,Random Forest,Optimal,Train,0.3945484526131633,0.5351270553064275,0.5149532710280373,15.371965408325195
insurance,BMI_CATEGORY,Random Forest,Optimal,Test,0.3945484526131633,0.5351270553064275,0.4925373134328358,3.966437339782715
insurance,BMI_CATEGORY,Random Forest,Underfit,Train,0.3945484526131633,0.5351270553064275,0.40841121495327104,4.053868055343628
insurance,BMI_CATEGORY,Random Forest,Underfit,Test,0.3945484526131633,0.5351270553064275,0.3805970149253731,1.2678511142730713
insurance,BMI_CATEGORY,Random Forest,Overfit,Train,0.3945484526131633,0.5351270553064275,0.5186915887850467,31.41461491584778
insurance,BMI_CATEGORY,Random Forest,Overfit,Test,0.3945484526131633,0.5351270553064275,0.417910447761194,8.15088438987732
insurance,HAS_CHILDREN,XGBoost,Optimal,Train,0.5100824245186689,0.5710014947683109,0.5551401869158878,1.0742428302764893
insurance,HAS_CHILDREN,XGBoost,Optimal,Test,0.5100824245186689,0.5710014947683109,0.5671641791044776,0.29905080795288086
insurance,HAS_CHILDREN,XGBoost,Underfit,Train,0.5100824245186689,0.5710014947683109,0.43177570093457945,0.9799704551696777
insurance,HAS_CHILDREN,XGBoost,Underfit,Test,0.5100824245186689,0.5710014947683109,0.417910447761194,0.26146984100341797
insurance,HAS_CHILDREN,XGBoost,Overfit,Train,0.5100824245186689,0.5710014947683109,0.5214953271028038,1.2801713943481445
insurance,HAS_CHILDREN,XGBoost,Overfit,Test,0.5100824245186689,0.5710014947683109,0.48880597014925375,0.3830687999725342
insurance,HAS_CHILDREN,Decision Tree,Optimal,Train,0.5100824245186689,0.5710014947683109,0.49906542056074765,0.7158377170562744
insurance,HAS_CHILDREN,Decision Tree,Optimal,Test,0.5100824245186689,0.5710014947683109,0.4925373134328358,0.18867230415344238
insurance,HAS_CHILDREN,Decision Tree,Underfit,Train,0.5100824245186689,0.5710014947683109,0.43177570093457945,0.7133040428161621
insurance,HAS_CHILDREN,Decision Tree,Underfit,Test,0.5100824245186689,0.5710014947683109,0.417910447761194,0.20714068412780762
insurance,HAS_CHILDREN,Decision Tree,Overfit,Train,0.5100824245186689,0.5710014947683109,0.4766355140186916,0.7094249725341797
insurance,HAS_CHILDREN,Decision Tree,Overfit,Test,0.5100824245186689,0.5710014947683109,0.4962686567164179,0.18394804000854492
insurance,HAS_CHILDREN,Random Forest,Optimal,Train,0.5100824245186689,0.5710014947683109,0.6626168224299065,15.488918542861938
insurance,HAS_CHILDREN,Random Forest,Optimal,Test,0.5100824245186689,0.5710014947683109,0.582089552238806,3.9565110206604004
insurance,HAS_CHILDREN,Random Forest,Underfit,Train,0.5100824245186689,0.5710014947683109,0.6616822429906543,3.9626622200012207
insurance,HAS_CHILDREN,Random Forest,Underfit,Test,0.5100824245186689,0.5710014947683109,0.6305970149253731,1.2769525051116943
insurance,HAS_CHILDREN,Random Forest,Overfit,Train,0.5100824245186689,0.5710014947683109,0.6598130841121496,31.568336486816406
insurance,HAS_CHILDREN,Random Forest,Overfit,Test,0.5100824245186689,0.5710014947683109,0.5298507462686567,8.125533819198608
personality,STAGE_FEAR,XGBoost,Optimal,Train,0.50536648,0.5518,0.7195,5.06915020942688
personality,STAGE_FEAR,XGBoost,Optimal,Test,0.50536648,0.5518,0.684,0.9172565937042236
personality,STAGE_FEAR,XGBoost,Underfit,Train,0.50536648,0.5518,0.4545,3.217688798904419
personality,STAGE_FEAR,XGBoost,Underfit,Test,0.50536648,0.5518,0.423,0.8410851955413818
personality,STAGE_FEAR,XGBoost,Overfit,Train,0.50536648,0.5518,0.71175,3.581942558288574
