learning_rate,max_depth,n_estimators,variant,model,dataset,min_samples_leaf,min_samples_split
0.1,1,12.0,Underfit,XGBoost,insurance,,
0.4,3,24.0,Optimal,XGBoost,insurance,,
0.8,6,64.0,Overfit,XGBoost,insurance,,
,3,,Underfit,Decision Tree,insurance,22.0,6.0
,6,,Optimal,Decision Tree,insurance,12.0,2.0
,12,,Overfit,Decision Tree,insurance,6.0,2.0
,6,160.0,Underfit,Random Forest,insurance,,12.0
,12,240.0,Optimal,Random Forest,insurance,,8.0
,16,320.0,Overfit,Random Forest,insurance,,4.0
0.001,1,24.0,Underfit,XGBoost,personality,,
0.1,3,64.0,Optimal,XGBoost,personality,,
0.4,6,256.0,Overfit,XGBoost,personality,,
,6,,Underfit,Decision Tree,personality,8.0,14.0
,12,,Optimal,Decision Tree,personality,4.0,12.0
,16,,Overfit,Decision Tree,personality,1.0,8.0
,6,10.0,Underfit,Random Forest,personality,,12.0
,12,30.0,Optimal,Random Forest,personality,,8.0
,16,90.0,Overfit,Random Forest,personality,,4.0
0.01,6,12.0,Underfit,XGBoost,occupation,,
0.2,12,24.0,Optimal,XGBoost,occupation,,
0.8,16,64.0,Overfit,XGBoost,occupation,,
,4,,Underfit,Decision Tree,occupation,16.0,6.0
,8,,Optimal,Decision Tree,occupation,8.0,2.0
,16,,Overfit,Decision Tree,occupation,4.0,2.0
,8,20.0,Underfit,Random Forest,occupation,,6.0
,16,60.0,Optimal,Random Forest,occupation,,2.0
,16,120.0,Overfit,Random Forest,occupation,,2.0
0.1,1,8.0,Underfit,XGBoost,stackoverflow,,
0.4,2,16.0,Optimal,XGBoost,stackoverflow,,
0.8,4,32.0,Overfit,XGBoost,stackoverflow,,
,1,,Underfit,Decision Tree,stackoverflow,4.0,6.0
,1,,Optimal,Decision Tree,stackoverflow,1.0,2.0
,3,,Overfit,Decision Tree,stackoverflow,1.0,2.0
,2,30.0,Underfit,Random Forest,stackoverflow,,14.0
,4,90.0,Optimal,Random Forest,stackoverflow,,10.0
,8,160.0,Overfit,Random Forest,stackoverflow,,6.0
