dataset,model,variant,feature,importance
insurance,XGBoost,Optimal,cat__SEX_female,0.03356289491057396
insurance,XGBoost,Optimal,cat__SEX_male,0.0
insurance,XGBoost,Optimal,cat__SMOKER_no,0.42174485325813293
insurance,XGBoost,Optimal,cat__SMOKER_yes,0.0
insurance,XGBoost,Optimal,cat__REGION_northeast,0.02398226410150528
insurance,XGBoost,Optimal,cat__REGION_northwest,0.017834290862083435
insurance,XGBoost,Optimal,cat__REGION_southeast,0.019287114962935448
insurance,XGBoost,Optimal,cat__REGION_southwest,0.01804986037313938
insurance,XGBoost,Optimal,cat__BMI_CATEGORY_0_UNDERWEIGHT,0.010380088351666927
insurance,XGBoost,Optimal,cat__BMI_CATEGORY_1_HEALTHY,0.020373621955513954
insurance,XGBoost,Optimal,cat__BMI_CATEGORY_2_OVERWEIGHT,0.02516775391995907
insurance,XGBoost,Optimal,cat__BMI_CATEGORY_3_OBESITY,0.14714650809764862
insurance,XGBoost,Optimal,cat__HAS_CHILDREN_False,0.06930245459079742
insurance,XGBoost,Optimal,cat__HAS_CHILDREN_True,0.0
insurance,XGBoost,Optimal,num__AGE,0.1931682974100113
insurance,XGBoost,Underfit,cat__SEX_female,0.0
insurance,XGBoost,Underfit,cat__SEX_male,0.0
insurance,XGBoost,Underfit,cat__SMOKER_no,0.6315540671348572
insurance,XGBoost,Underfit,cat__SMOKER_yes,0.0
insurance,XGBoost,Underfit,cat__REGION_northeast,0.0
insurance,XGBoost,Underfit,cat__REGION_northwest,0.0
insurance,XGBoost,Underfit,cat__REGION_southeast,0.0
insurance,XGBoost,Underfit,cat__REGION_southwest,0.0
insurance,XGBoost,Underfit,cat__BMI_CATEGORY_0_UNDERWEIGHT,0.0
insurance,XGBoost,Underfit,cat__BMI_CATEGORY_1_HEALTHY,0.0
insurance,XGBoost,Underfit,cat__BMI_CATEGORY_2_OVERWEIGHT,0.0
insurance,XGBoost,Underfit,cat__BMI_CATEGORY_3_OBESITY,0.0
insurance,XGBoost,Underfit,cat__HAS_CHILDREN_False,0.0
insurance,XGBoost,Underfit,cat__HAS_CHILDREN_True,0.0
insurance,XGBoost,Underfit,num__AGE,0.3684459924697876
insurance,XGBoost,Overfit,cat__SEX_female,0.018325861543416977
insurance,XGBoost,Overfit,cat__SEX_male,0.0
insurance,XGBoost,Overfit,cat__SMOKER_no,0.6802349090576172
insurance,XGBoost,Overfit,cat__SMOKER_yes,0.0
insurance,XGBoost,Overfit,cat__REGION_northeast,0.016884498298168182
insurance,XGBoost,Overfit,cat__REGION_northwest,0.013183927163481712
insurance,XGBoost,Overfit,cat__REGION_southeast,0.01753043197095394
insurance,XGBoost,Overfit,cat__REGION_southwest,0.012291704304516315
insurance,XGBoost,Overfit,cat__BMI_CATEGORY_0_UNDERWEIGHT,0.022465545684099197
insurance,XGBoost,Overfit,cat__BMI_CATEGORY_1_HEALTHY,0.014909227378666401
insurance,XGBoost,Overfit,cat__BMI_CATEGORY_2_OVERWEIGHT,0.021260477602481842
insurance,XGBoost,Overfit,cat__BMI_CATEGORY_3_OBESITY,0.058538466691970825
insurance,XGBoost,Overfit,cat__HAS_CHILDREN_False,0.0514780730009079
insurance,XGBoost,Overfit,cat__HAS_CHILDREN_True,0.0
insurance,XGBoost,Overfit,num__AGE,0.07289688289165497
