dataset,model,variant,accuracy,precision,recall,f1
insurance,XGBoost,Optimal,0.832089552238806,0.8397033890872173,0.832089552238806,0.8309936306124098
insurance,XGBoost,Underfit,0.7723880597014925,0.7799884073371547,0.7723880597014925,0.7656505688827934
insurance,XGBoost,Overfit,0.8134328358208955,0.8139355342222584,0.8134328358208955,0.8130500826990433
insurance,Decision Tree,Optimal,0.835820895522388,0.8455322028881043,0.835820895522388,0.8347292211201206
insurance,Decision Tree,Underfit,0.8097014925373134,0.821730692143105,0.8097014925373134,0.8088972793080438
insurance,Decision Tree,Overfit,0.8283582089552238,0.8363584039707157,0.8283582089552238,0.8273732968950269
insurance,Random Forest,Optimal,0.8470149253731343,0.8557163100122632,0.8470149253731343,0.8472476031644253
insurance,Random Forest,Underfit,0.8022388059701493,0.8177068139928257,0.8022388059701493,0.803214670974769
insurance,Random Forest,Overfit,0.8395522388059702,0.8414371833470151,0.8395522388059702,0.8390168161385166
personality,XGBoost,Optimal,0.986,0.986,0.986,0.986
personality,XGBoost,Underfit,0.822,0.8687315634218289,0.822,0.8161757112347623
personality,XGBoost,Overfit,0.986,0.9860311059907834,0.986,0.985999775996416
personality,Decision Tree,Optimal,0.983,0.9831565427198411,0.983,0.982998622888454
personality,Decision Tree,Underfit,0.966,0.9681647940074907,0.966,0.9659606505119919
personality,Decision Tree,Overfit,0.979,0.9792319482629593,0.979,0.9789974586925019
personality,Random Forest,Optimal,0.986,0.9860699940791474,0.986,0.9859994959818554
personality,Random Forest,Underfit,0.989,0.9891584873499014,0.989,0.9889991089278232
personality,Random Forest,Overfit,0.987,0.987048704870487,0.987,0.9869996749918748
occupation,XGBoost,Optimal,0.859,0.8548406227269529,0.859,0.8561272204274406
occupation,XGBoost,Underfit,0.755,0.570025,0.755,0.6496011396011396
occupation,XGBoost,Overfit,0.837,0.8328334407216494,0.837,0.8344686430681343
occupation,Decision Tree,Optimal,0.839,0.8309912280701754,0.839,0.8316509125628878
occupation,Decision Tree,Underfit,0.841,0.8338862413181395,0.841,0.8281684019820041
occupation,Decision Tree,Overfit,0.811,0.8010616766165395,0.811,0.8038266417881236
occupation,Random Forest,Optimal,0.854,0.8483377818683847,0.854,0.849394982078853
occupation,Random Forest,Underfit,0.855,0.8494985825655562,0.855,0.845328189730531
occupation,Random Forest,Overfit,0.857,0.8519430379746835,0.857,0.8531197411003236
stackoverflow,XGBoost,Optimal,0.777,0.7773358673483983,0.777,0.7760898272374077
stackoverflow,XGBoost,Underfit,0.777,0.7772381827162913,0.777,0.7761551928023946
stackoverflow,XGBoost,Overfit,0.763,0.762893215339233,0.763,0.7622986727608334
stackoverflow,Decision Tree,Optimal,0.777,0.7772381827162913,0.777,0.7761551928023946
stackoverflow,Decision Tree,Underfit,0.777,0.7772381827162913,0.777,0.7761551928023946
stackoverflow,Decision Tree,Overfit,0.777,0.7772381827162913,0.777,0.7761551928023946
stackoverflow,Random Forest,Optimal,0.777,0.7772381827162913,0.777,0.7761551928023946
stackoverflow,Random Forest,Underfit,0.778,0.7781178925404277,0.778,0.7772531055900622
stackoverflow,Random Forest,Overfit,0.777,0.7771497681853211,0.777,0.7762186910690362
