AGE,ACCESSIBILITY,EDUCATION_LEVEL,EMPLOYMENT,GENDER,MENTAL_HEALTH,MAIN_BRANCH,YEARS_CODE,YEARS_CODE_PRO,COMPUTER_SKILLS,EMPLOYED
<35,No,NoHigherEd,0,Man,0,Dev,5,4,7,1
>35,No,Undergraduate,1,Man,0,Dev,29,26,22,1
>35,No,Undergraduate,1,Man,0,Dev,25,11,9,0
<35,No,Undergraduate,1,Man,0,Dev,14,7,2,0
<35,No,Undergraduate,0,Man,0,Dev,11,6,19,0
>35,No,Undergraduate,1,Man,1,Dev,27,22,5,1
>35,No,Other,1,Man,0,Dev,15,15,12,0
>35,No,Undergraduate,1,Man,0,Dev,38,26,6,0
<35,No,Undergraduate,1,Man,0,Dev,9,7,14,1
<35,No,Undergraduate,1,Man,0,Dev,12,4,11,0
<35,No,Master,1,Woman,0,Dev,1,1,4,0
>35,No,Master,1,Man,0,Dev,34,22,22,1
<35,No,Undergraduate,1,Man,0,Dev,10,4,23,1
<35,No,PhD,1,Man,0,Dev,12,7,16,1
>35,No,NoHigherEd,1,Man,0,Dev,20,15,11,0
<35,No,Undergraduate,1,Man,0,Dev,3,2,8,1
<35,No,Undergraduate,1,Man,1,Dev,3,2,14,0
<35,No,Master,1,Man,0,Dev,16,10,13,1
<35,No,Other,1,Man,1,Dev,12,12,12,1
>35,No,Master,1,Man,0,Dev,7,6,12,0
<35,No,Other,1,Woman,1,Dev,7,0,14,1
<35,No,Undergraduate,1,Man,0,Dev,18,10,14,0
>35,No,Master,1,Man,1,Dev,25,25,11,1
<35,No,Undergraduate,1,Man,0,Dev,3,3,16,1
<35,No,Undergraduate,1,Man,1,Dev,2,2,8,1
<35,No,Master,1,Man,0,Dev,16,12,52,1
>35,No,Master,1,Man,0,Dev,23,14,23,1
<35,No,Undergraduate,1,Man,1,Dev,8,3,31,1
>35,No,Master,1,Man,0,NotDev,20,5,14,0
<35,No,Other,1,Man,1,Dev,17,8,16,0
<35,No,Undergraduate,1,Man,1,Dev,15,12,8,0
>35,No,Master,1,Man,0,Dev,23,9,16,1
>35,No,Undergraduate,1,Man,0,Dev,20,20,22,0
>35,No,Undergraduate,1,Man,0,Dev,25,24,3,0
>35,No,Undergraduate,1,Man,0,Dev,20,15,13,1
>35,Yes,Undergraduate,0,NonBinary,0,Dev,25,25,16,0
<35,No,Undergraduate,1,Man,1,Dev,10,7,26,1
<35,No,Undergraduate,1,Man,0,Dev,10,7,38,1
>35,No,Other,0,Man,0,Dev,21,11,13,1
>35,No,Undergraduate,1,Man,0,Dev,15,12,6,0
>35,No,Master,1,Man,0,Dev,28,25,12,1
>35,No,Other,0,Man,0,NotDev,32,25,10,0
>35,No,Other,1,Man,0,Dev,27,18,20,1
<35,No,Master,1,Man,0,Dev,7,3,23,1
<35,No,Undergraduate,1,Man,0,Dev,16,7,9,1
>35,No,Undergraduate,1,Man,0,Dev,15,2,14,0
<35,No,Master,0,Man,0,Dev,11,11,16,0
<35,No,Undergraduate,1,Man,0,Dev,12,8,11,1
<35,No,Undergraduate,1,Man,0,Dev,4,4,12,1
>35,No,Undergraduate,1,Man,0,Dev,14,11,19,1
>35,No,Undergraduate,0,Man,1,Dev,25,25,25,1
>35,No,Undergraduate,1,Man,0,Dev,25,10,7,1
<35,No,Master,1,Man,0,Dev,12,7,14,1
<35,No,Undergraduate,1,Woman,1,Dev,10,8,9,0
>35,No,Undergraduate,1,Man,0,Dev,38,33,10,1
<35,No,Undergraduate,1,Man,1,Dev,16,11,19,1
<35,No,Master,1,Man,0,Dev,9,2,15,0
<35,No,Master,1,Man,0,Dev,18,12,16,1
<35,No,Undergraduate,1,Man,0,Dev,5,3,8,1
>35,No,PhD,1,Man,1,Dev,21,11,25,1
>35,No,Undergraduate,1,Man,0,Dev,41,34,20,1
<35,No,Undergraduate,1,Man,0,Dev,8,4,19,1
<35,No,Other,1,Man,1,Dev,7,2,6,0
<35,No,Master,1,Woman,0,Dev,5,2,19,1
<35,No,Undergraduate,1,Man,0,Dev,20,13,6,1
>35,No,Master,1,Man,0,Dev,15,10,4,0
>35,No,Master,0,Man,1,Dev,33,19,23,1
>35,No,Other,1,Man,1,NotDev,28,18,5,0
<35,No,Undergraduate,1,Man,0,Dev,12,5,22,1
>35,No,Master,0,Man,0,Dev,25,14,19,1
<35,No,NoHigherEd,1,Man,0,Dev,13,4,20,1
>35,No,Undergraduate,1,Man,0,Dev,40,28,7,0
>35,Yes,Undergraduate,1,Man,0,Dev,24,13,10,1
<35,No,Master,1,Man,0,Dev,21,9,4,0
<35,No,Undergraduate,1,Man,1,Dev,11,7,6,0
<35,No,Undergraduate,1,Woman,1,Dev,7,6,10,0
<35,No,Undergraduate,0,Man,0,Dev,9,6,20,0
>35,No,Undergraduate,0,Man,0,Dev,13,10,14,0
<35,No,Master,1,Man,0,Dev,10,5,17,1
>35,No,Master,1,Man,0,Dev,30,20,12,0
<35,No,Undergraduate,1,Woman,0,Dev,7,7,14,1
>35,No,NoHigherEd,1,Man,0,Dev,29,22,12,0
<35,No,Other,1,Man,0,Dev,14,9,18,1
<35,No,Other,1,Man,0,Dev,8,7,10,0
>35,No,Other,1,Man,0,Dev,20,15,16,1
<35,No,Undergraduate,1,Man,0,NotDev,8,2,26,1
<35,No,Undergraduate,1,Man,0,Dev,15,10,17,1
>35,No,Master,1,Man,0,Dev,24,19,6,0
<35,No,NoHigherEd,1,Man,1,Dev,4,0,21,1
>35,No,Undergraduate,1,Man,1,Dev,8,6,12,0
>35,No,Undergraduate,1,Man,0,Dev,18,15,7,1
<35,No,Undergraduate,1,Man,0,Dev,5,4,29,1
<35,No,Master,1,Man,0,Dev,9,4,13,1
>35,No,Master,1,Man,0,Dev,20,12,21,1
<35,No,Undergraduate,1,Man,0,Dev,8,5,7,0
<35,No,Undergraduate,0,Man,1,Dev,3,2,8,0
<35,No,NoHigherEd,1,Man,0,NotDev,3,3,8,0
>35,No,Undergraduate,1,Woman,0,Dev,23,18,13,1
<35,No,Undergraduate,0,Man,0,Dev,7,7,17,1
<35,No,NoHigherEd,0,Man,1,Dev,17,14,18,1
>35,No,Undergraduate,1,Man,1,Dev,20,7,15,0
<35,No,Undergraduate,1,Man,0,Dev,11,6,11,0
>35,No,Master,0,Man,0,Dev,5,5,4,0
