Age,Education,EducationYears,MaritalStatus,Occupation,Race,Gender,CapitalGain,CapitalLoss,HoursPerWeek,Income
62.0,Some-college,10.0,Widowed,Farming-fishing,White,Female,0.0,0.0,50.0,<=50K
26.0,Some-college,10.0,Divorced,Handlers-cleaners,White,Male,0.0,0.0,45.0,<=50K
60.0,HS-grad,9.0,Widowed,Machine-op-inspct,White,Female,0.0,0.0,40.0,<=50K
56.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,White,Male,0.0,0.0,40.0,>50K
26.0,HS-grad,9.0,Separated,Sales,Black,Female,0.0,0.0,37.0,<=50K
25.0,1st-4th,2.0,Never-married,Other-service,White,Male,0.0,0.0,25.0,<=50K
43.0,Masters,14.0,Married-civ-spouse,Handlers-cleaners,White,Male,0.0,0.0,12.0,<=50K
22.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,White,Male,0.0,0.0,45.0,<=50K
32.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,0.0,40.0,<=50K
49.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,White,Male,0.0,0.0,60.0,>50K
45.0,Some-college,10.0,Divorced,Machine-op-inspct,White,Male,0.0,0.0,48.0,<=50K
46.0,HS-grad,9.0,Divorced,Machine-op-inspct,White,Male,0.0,0.0,20.0,<=50K
26.0,Some-college,10.0,Married-spouse-absent,Adm-clerical,Other,Female,0.0,0.0,35.0,<=50K
44.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,White,Male,0.0,0.0,38.0,<=50K
27.0,5th-6th,3.0,Never-married,Farming-fishing,White,Male,0.0,0.0,35.0,<=50K
37.0,Assoc-acdm,12.0,Married-civ-spouse,Craft-repair,White,Male,0.0,0.0,55.0,<=50K
50.0,Masters,14.0,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,0.0,30.0,<=50K
40.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,White,Male,0.0,0.0,50.0,<=50K
34.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Black,Male,0.0,0.0,40.0,<=50K
34.0,Bachelors,13.0,Married-civ-spouse,Other-service,White,Male,0.0,0.0,30.0,>50K
25.0,Some-college,10.0,Never-married,Adm-clerical,White,Female,0.0,0.0,40.0,<=50K
34.0,HS-grad,9.0,Divorced,Machine-op-inspct,White,Female,0.0,0.0,20.0,<=50K
18.0,Some-college,10.0,Never-married,Sales,White,Female,0.0,0.0,25.0,<=50K
50.0,Bachelors,13.0,Divorced,Exec-managerial,White,Female,0.0,0.0,40.0,<=50K
20.0,Some-college,10.0,Never-married,Adm-clerical,White,Female,0.0,0.0,40.0,<=50K
20.0,Some-college,10.0,Never-married,Adm-clerical,Black,Female,0.0,0.0,20.0,<=50K
47.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,White,Male,5178.0,0.0,40.0,>50K
30.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,White,Male,0.0,0.0,40.0,<=50K
46.0,HS-grad,9.0,Divorced,Adm-clerical,White,Female,0.0,0.0,40.0,<=50K
28.0,7th-8th,4.0,Married-civ-spouse,Handlers-cleaners,White,Male,0.0,0.0,40.0,<=50K
65.0,Prof-school,15.0,Divorced,Prof-specialty,White,Male,0.0,0.0,40.0,<=50K
26.0,Some-college,10.0,Never-married,Prof-specialty,White,Male,0.0,0.0,40.0,<=50K
41.0,Some-college,10.0,Separated,Other-service,Black,Male,0.0,0.0,40.0,<=50K
44.0,Bachelors,13.0,Married-civ-spouse,Adm-clerical,Asian-Pac-Islander,Male,0.0,0.0,40.0,>50K
36.0,HS-grad,9.0,Married-civ-spouse,Other-service,Black,Male,0.0,0.0,40.0,<=50K
36.0,Masters,14.0,Never-married,Prof-specialty,White,Female,0.0,0.0,40.0,<=50K
42.0,HS-grad,9.0,Divorced,Craft-repair,White,Female,0.0,0.0,40.0,<=50K
48.0,Masters,14.0,Married-civ-spouse,Prof-specialty,White,Male,15024.0,0.0,40.0,>50K
37.0,Some-college,10.0,Married-civ-spouse,Transport-moving,Asian-Pac-Islander,Male,0.0,0.0,40.0,<=50K
28.0,Bachelors,13.0,Never-married,Sales,White,Male,0.0,0.0,50.0,<=50K
24.0,HS-grad,9.0,Never-married,Other-service,White,Female,0.0,0.0,40.0,<=50K
35.0,Some-college,10.0,Divorced,Exec-managerial,White,Female,0.0,0.0,70.0,<=50K
20.0,Some-college,10.0,Never-married,Other-service,White,Male,0.0,0.0,40.0,<=50K
46.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Black,Male,0.0,0.0,40.0,<=50K
32.0,Bachelors,13.0,Married-civ-spouse,Sales,White,Male,0.0,0.0,45.0,<=50K
31.0,HS-grad,9.0,Never-married,Handlers-cleaners,Black,Female,0.0,0.0,35.0,<=50K
55.0,Masters,14.0,Never-married,Prof-specialty,Asian-Pac-Islander,Female,0.0,0.0,40.0,<=50K
27.0,Bachelors,13.0,Never-married,Prof-specialty,White,Male,0.0,0.0,45.0,<=50K
50.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,White,Male,7688.0,0.0,40.0,>50K
38.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,White,Male,0.0,0.0,50.0,>50K
46.0,1st-4th,2.0,Never-married,Machine-op-inspct,White,Male,0.0,0.0,40.0,<=50K
27.0,Some-college,10.0,Never-married,Exec-managerial,White,Female,0.0,0.0,65.0,<=50K
47.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,White,Male,0.0,0.0,60.0,<=50K
24.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,White,Female,0.0,0.0,45.0,<=50K
17.0,10th,6.0,Never-married,Other-service,White,Female,0.0,0.0,25.0,<=50K
41.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,White,Male,0.0,0.0,50.0,>50K
34.0,Masters,14.0,Married-civ-spouse,Exec-managerial,White,Male,0.0,0.0,38.0,<=50K
22.0,Bachelors,13.0,Never-married,Exec-managerial,White,Female,0.0,0.0,7.0,<=50K
29.0,9th,5.0,Married-civ-spouse,Craft-repair,White,Male,0.0,0.0,40.0,<=50K
32.0,Some-college,10.0,Never-married,Tech-support,Black,Male,0.0,0.0,38.0,<=50K
49.0,Doctorate,16.0,Never-married,Exec-managerial,White,Female,0.0,2258.0,50.0,>50K
46.0,Assoc-voc,11.0,Divorced,Exec-managerial,White,Female,0.0,0.0,36.0,<=50K
19.0,HS-grad,9.0,Never-married,Prof-specialty,White,Female,0.0,0.0,40.0,<=50K
56.0,Assoc-acdm,12.0,Married-civ-spouse,Other-service,White,Male,0.0,0.0,50.0,<=50K
28.0,Bachelors,13.0,Married-civ-spouse,Sales,White,Male,0.0,0.0,50.0,>50K
72.0,HS-grad,9.0,Married-civ-spouse,Sales,White,Male,0.0,0.0,12.0,<=50K
53.0,Some-college,10.0,Widowed,Exec-managerial,White,Female,0.0,0.0,54.0,<=50K
26.0,Masters,14.0,Married-civ-spouse,Prof-specialty,White,Male,0.0,0.0,30.0,<=50K
24.0,Bachelors,13.0,Never-married,Prof-specialty,White,Female,0.0,0.0,30.0,<=50K
52.0,HS-grad,9.0,Married-civ-spouse,Exec-managerial,White,Male,0.0,0.0,60.0,>50K
29.0,Prof-school,15.0,Never-married,Prof-specialty,White,Male,0.0,0.0,50.0,>50K
44.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,White,Male,0.0,0.0,50.0,>50K
51.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,White,Female,0.0,0.0,40.0,<=50K
47.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,White,Male,0.0,0.0,40.0,>50K
59.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,White,Male,0.0,0.0,40.0,<=50K
43.0,Bachelors,13.0,Divorced,Tech-support,White,Male,0.0,0.0,40.0,<=50K
28.0,HS-grad,9.0,Never-married,Handlers-cleaners,White,Male,0.0,0.0,30.0,<=50K
