Stage_fear,Going_outside,Drained_after_socializing,Friends_circle_size,Post_frequency,Personality,Time_Alone_Category,Social_Events_Category
Yes,7,No,14,5,Extrovert,Low,Moderate
No,6,No,7,8,Extrovert,Low,Frequent
No,4,No,9,3,Extrovert,Low,Frequent
No,0,Yes,9,3,Introvert,High,Rare
Yes,0,No,2,6,Introvert,Medium,Rare
No,3,Yes,6,4,Extrovert,Low,Moderate
No,6,No,11,6,Extrovert,Low,Moderate
No,6,No,8,4,Extrovert,Medium,Moderate
No,4,Yes,9,3,Introvert,High,Rare
Yes,3,No,7,4,Introvert,Medium,Moderate
Yes,0,Yes,8,4,Introvert,Medium,Rare
No,3,Yes,12,10,Extrovert,Medium,Frequent
No,5,Yes,9,4,Extrovert,Low,Moderate
No,3,No,6,3,Extrovert,Low,Frequent
Yes,2,Yes,5,2,Introvert,High,Moderate
No,5,Yes,14,9,Extrovert,Low,Frequent
No,4,No,7,9,Extrovert,Medium,Moderate
Yes,3,Yes,6,6,Introvert,High,Moderate
No,7,No,15,5,Extrovert,Medium,Moderate
Yes,0,No,3,5,Introvert,Medium,Moderate
Yes,0,Yes,8,3,Introvert,High,Moderate
No,5,No,9,3,Extrovert,Low,Frequent
No,5,No,12,3,Extrovert,Low,Frequent
No,3,Yes,6,1,Introvert,Low,Rare
No,5,No,6,6,Extrovert,Low,Moderate
No,0,Yes,1,4,Introvert,High,Rare
No,2,Yes,0,6,Introvert,High,Rare
Yes,2,Yes,0,0,Introvert,High,Rare
Yes,3,Yes,3,2,Introvert,High,Rare
Yes,3,Yes,7,6,Introvert,Medium,Rare
No,0,No,6,6,Introvert,High,Rare
No,0,Yes,0,1,Introvert,Medium,Rare
Yes,5,No,13,5,Extrovert,Medium,Frequent
Yes,3,No,15,3,Extrovert,Low,Frequent
Yes,2,Yes,8,2,Introvert,Medium,Rare
No,4,No,7,10,Extrovert,Medium,Frequent
No,3,No,8,10,Extrovert,Low,Moderate
Yes,0,Yes,2,5,Introvert,High,Rare
No,7,No,12,5,Extrovert,Medium,Frequent
No,6,No,5,7,Extrovert,Low,Moderate
Yes,0,Yes,4,5,Introvert,Medium,Rare
No,3,No,7,6,Extrovert,Low,Frequent
No,3,No,6,3,Extrovert,Low,Frequent
Yes,1,Yes,5,6,Introvert,High,Moderate
Yes,0,Yes,6,4,Introvert,Medium,Rare
Yes,0,Yes,9,6,Introvert,High,Rare
No,6,Yes,6,4,Extrovert,Low,Moderate
Yes,0,No,5,1,Introvert,High,Rare
No,2,No,0,4,Introvert,High,Rare
Yes,4,No,2,6,Introvert,Medium,Moderate
No,3,Yes,2,0,Introvert,Medium,Rare
Yes,1,No,4,5,Introvert,Medium,Moderate
No,3,No,5,9,Extrovert,Medium,Frequent
Yes,4,Yes,6,6,Introvert,High,Moderate
No,6,No,7,7,Extrovert,Medium,Moderate
Yes,4,No,3,4,Introvert,High,Rare
Yes,4,Yes,9,5,Introvert,Medium,Rare
No,4,No,14,10,Extrovert,Low,Frequent
No,4,No,15,6,Extrovert,Medium,Frequent
Yes,0,Yes,4,3,Introvert,Medium,Rare
Yes,5,No,6,7,Extrovert,Low,Moderate
No,4,No,14,4,Extrovert,Low,Moderate
No,3,Yes,1,4,Introvert,Medium,Moderate
No,7,Yes,8,4,Extrovert,Medium,Moderate
No,3,Yes,8,4,Extrovert,Low,Moderate
No,7,No,11,7,Extrovert,Medium,Frequent
No,3,No,8,10,Extrovert,Low,Frequent
No,3,No,13,5,Extrovert,Medium,Moderate
Yes,3,Yes,4,4,Introvert,High,Moderate
No,7,Yes,11,10,Extrovert,Low,Moderate
No,4,No,14,7,Extrovert,Medium,Moderate
No,4,Yes,13,4,Extrovert,Medium,Moderate
No,4,Yes,8,1,Introvert,Low,Moderate
No,7,No,12,10,Extrovert,Low,Frequent
Yes,3,No,8,8,Extrovert,Low,Moderate
Yes,2,Yes,2,6,Introvert,Medium,Moderate
No,3,Yes,3,3,Introvert,Medium,Rare
Yes,4,Yes,8,6,Introvert,High,Rare
No,4,Yes,4,5,Introvert,Low,Rare
Yes,5,No,13,4,Extrovert,Low,Moderate
No,3,No,10,5,Extrovert,Low,Frequent
No,1,Yes,7,5,Introvert,High,Rare
Yes,3,Yes,7,1,Introvert,High,Rare
No,0,Yes,5,6,Introvert,Medium,Moderate
No,7,No,7,7,Extrovert,Low,Moderate
Yes,0,Yes,7,5,Introvert,Medium,Moderate
No,0,Yes,0,2,Introvert,Medium,Rare
No,5,Yes,5,4,Extrovert,Low,Frequent
No,6,Yes,9,8,Extrovert,Low,Frequent
No,7,Yes,7,3,Extrovert,Medium,Frequent
No,5,No,8,8,Extrovert,Medium,Moderate
No,6,No,11,4,Extrovert,Low,Moderate
Yes,2,Yes,0,5,Introvert,Medium,Rare
No,0,Yes,6,6,Introvert,Medium,Rare
No,5,Yes,6,8,Extrovert,Medium,Moderate
Yes,2,No,1,3,Introvert,Medium,Moderate
No,6,No,14,5,Extrovert,Medium,Frequent
No,3,No,8,10,Extrovert,Medium,Moderate
No,7,No,15,10,Extrovert,Low,Moderate
No,5,No,12,6,Extrovert,Low,Frequent
Yes,2,Yes,1,4,Introvert,Medium,Rare
No,1,Yes,5,4,Introvert,Medium,Moderate
Yes,1,Yes,0,5,Introvert,Low,Rare
No,0,Yes,7,5,Introvert,High,Moderate
No,4,Yes,12,3,Extrovert,Medium,Moderate
Yes,4,Yes,12,4,Extrovert,Medium,Frequent
No,5,Yes,15,9,Extrovert,Low,Moderate
Yes,2,Yes,8,6,Introvert,Medium,Rare
No,3,No,14,8,Extrovert,Low,Moderate
Yes,0,Yes,2,0,Introvert,High,Rare
No,4,No,12,3,Extrovert,Low,Frequent
Yes,3,Yes,1,2,Introvert,Medium,Moderate
Yes,4,No,5,5,Introvert,High,Rare
Yes,3,No,7,9,Extrovert,Low,Frequent
Yes,1,Yes,3,6,Introvert,Medium,Moderate
No,2,Yes,1,6,Introvert,High,Moderate
No,7,No,10,6,Extrovert,Low,Moderate
No,6,No,14,8,Extrovert,Low,Moderate
Yes,3,Yes,2,0,Introvert,High,Rare
Yes,1,Yes,7,1,Introvert,Medium,Moderate
No,0,No,7,5,Introvert,Low,Rare
No,7,Yes,6,8,Extrovert,Low,Moderate
Yes,5,No,12,10,Extrovert,Low,Moderate
Yes,3,No,4,4,Introvert,High,Moderate
No,6,No,14,3,Extrovert,Low,Moderate
Yes,2,Yes,0,6,Introvert,High,Moderate
No,3,No,6,8,Extrovert,Medium,Moderate
No,5,No,12,4,Extrovert,Low,Frequent
Yes,0,Yes,6,2,Introvert,Medium,Moderate
Yes,4,Yes,0,5,Introvert,High,Moderate
Yes,2,Yes,5,5,Introvert,High,Moderate
No,6,No,12,7,Extrovert,Medium,Frequent
No,4,No,7,5,Extrovert,Medium,Frequent
Yes,4,Yes,9,5,Introvert,Medium,Rare
Yes,2,No,7,5,Introvert,High,Rare
No,2,Yes,3,3,Introvert,High,Rare
No,3,No,14,3,Extrovert,Medium,Moderate
Yes,2,Yes,4,4,Introvert,Medium,Rare
No,0,Yes,6,2,Introvert,Medium,Rare
Yes,0,Yes,8,4,Introvert,Medium,Moderate
No,0,Yes,5,1,Introvert,High,Rare
No,3,No,15,6,Extrovert,Low,Moderate
No,6,No,12,3,Extrovert,Low,Moderate
No,4,No,9,3,Extrovert,Medium,Frequent
Yes,6,No,12,3,Extrovert,Low,Moderate
No,5,No,7,8,Extrovert,Low,Frequent
No,2,No,2,6,Introvert,Low,Moderate
Yes,1,Yes,2,6,Introvert,Medium,Rare
Yes,2,Yes,9,2,Introvert,Low,Moderate
Yes,3,Yes,6,4,Introvert,Medium,Moderate
Yes,2,Yes,7,5,Introvert,Low,Rare
No,3,No,12,4,Extrovert,Medium,Moderate
No,5,Yes,8,7,Extrovert,Medium,Frequent
Yes,1,No,6,0,Introvert,Medium,Moderate
No,5,No,6,4,Extrovert,Medium,Frequent
No,4,Yes,7,9,Extrovert,Medium,Moderate
Yes,3,No,7,6,Extrovert,Low,Frequent
Yes,1,Yes,6,0,Introvert,High,Rare
Yes,1,Yes,6,0,Introvert,Medium,Rare
Yes,1,Yes,1,6,Introvert,High,Rare
Yes,4,No,10,4,Extrovert,Low,Frequent
No,6,No,14,8,Extrovert,Medium,Moderate
Yes,5,No,13,7,Extrovert,Low,Frequent
Yes,7,No,14,8,Extrovert,Low,Moderate
No,0,No,3,2,Introvert,Medium,Rare
Yes,3,Yes,6,2,Introvert,Medium,Rare
Yes,4,Yes,9,3,Introvert,Medium,Moderate
No,5,Yes,15,7,Extrovert,Low,Moderate
No,7,No,12,3,Extrovert,Low,Moderate
No,3,No,7,4,Extrovert,Low,Moderate
No,4,No,9,6,Extrovert,Low,Frequent
Yes,4,No,5,9,Extrovert,Low,Moderate
Yes,4,Yes,4,5,Introvert,High,Moderate
Yes,0,Yes,9,0,Introvert,High,Rare
No,3,No,9,8,Extrovert,Low,Moderate
No,0,No,7,1,Introvert,High,Moderate
No,6,Yes,6,5,Extrovert,Medium,Frequent
No,2,Yes,1,2,Introvert,High,Moderate
No,6,No,12,3,Extrovert,Low,Frequent
Yes,0,Yes,9,3,Introvert,High,Rare
No,1,No,6,4,Introvert,Medium,Rare
Yes,5,Yes,8,7,Extrovert,Low,Moderate
Yes,3,Yes,7,3,Introvert,Low,Moderate
No,6,Yes,5,5,Extrovert,Low,Moderate
No,6,Yes,9,3,Extrovert,Medium,Moderate
Yes,0,No,8,3,Introvert,Low,Moderate
Yes,3,Yes,7,6,Introvert,Medium,Rare
Yes,1,No,3,3,Introvert,High,Moderate
Yes,7,Yes,14,5,Extrovert,Low,Frequent
No,1,Yes,5,4,Introvert,High,Rare
Yes,3,Yes,14,3,Extrovert,Medium,Moderate
No,4,No,12,5,Extrovert,Low,Moderate
No,0,Yes,4,1,Introvert,Medium,Moderate
No,6,No,7,3,Extrovert,Low,Moderate
Yes,4,Yes,1,3,Introvert,High,Rare
No,4,No,9,6,Extrovert,Medium,Frequent
Yes,4,Yes,2,1,Introvert,Medium,Rare
No,7,Yes,12,5,Extrovert,Low,Frequent
No,2,No,8,4,Introvert,High,Rare
Yes,3,No,9,0,Introvert,Medium,Moderate
Yes,5,No,11,9,Extrovert,Medium,Moderate
Yes,4,Yes,1,4,Introvert,Medium,Moderate
Yes,1,Yes,7,4,Introvert,Low,Moderate
No,4,No,6,9,Extrovert,Medium,Frequent
No,3,Yes,1,3,Introvert,Medium,Rare
No,4,No,10,4,Extrovert,Low,Moderate
Yes,4,Yes,2,3,Introvert,Medium,Moderate
No,3,No,7,5,Extrovert,Low,Moderate
Yes,1,Yes,0,2,Introvert,High,Moderate
No,7,No,8,10,Extrovert,Low,Frequent
Yes,2,Yes,7,3,Introvert,Medium,Rare
Yes,5,Yes,7,3,Extrovert,Medium,Frequent
No,6,Yes,6,7,Extrovert,Low,Moderate
No,4,Yes,15,10,Extrovert,Low,Moderate
Yes,2,Yes,3,6,Introvert,High,Moderate
No,6,Yes,8,8,Extrovert,Medium,Frequent
No,3,No,8,6,Extrovert,Low,Frequent
No,7,No,12,10,Extrovert,Medium,Moderate
No,4,No,6,8,Extrovert,Medium,Frequent
No,7,Yes,10,3,Extrovert,Medium,Moderate
Yes,0,No,5,5,Introvert,High,Rare
Yes,3,No,0,0,Introvert,Medium,Rare
No,6,No,11,4,Extrovert,Medium,Frequent
No,1,Yes,9,6,Introvert,High,Rare
Yes,2,Yes,8,5,Introvert,Low,Moderate
No,4,Yes,12,4,Extrovert,Medium,Moderate
Yes,2,Yes,3,5,Introvert,Medium,Rare
Yes,0,No,1,5,Introvert,High,Rare
Yes,4,Yes,2,6,Introvert,High,Rare
Yes,4,Yes,2,3,Introvert,Medium,Moderate
Yes,4,Yes,8,2,Introvert,High,Moderate
No,7,No,5,9,Extrovert,Low,Moderate
Yes,1,Yes,3,4,Introvert,Low,Moderate
Yes,0,Yes,8,3,Introvert,Medium,Rare
Yes,1,Yes,3,5,Introvert,Medium,Rare
Yes,7,No,6,10,Extrovert,Low,Moderate
No,6,Yes,11,4,Extrovert,Medium,Moderate
No,4,Yes,5,3,Introvert,Medium,Moderate
No,3,No,11,8,Extrovert,Medium,Frequent
No,4,Yes,9,9,Extrovert,Low,Moderate
No,5,Yes,10,8,Extrovert,Low,Frequent
Yes,2,Yes,8,5,Introvert,High,Rare
Yes,4,Yes,0,0,Introvert,High,Moderate
Yes,3,Yes,3,1,Introvert,High,Moderate
No,3,No,0,6,Introvert,Medium,Moderate
No,7,No,7,8,Extrovert,Medium,Moderate
Yes,2,No,8,1,Introvert,Medium,Rare
No,5,No,10,6,Extrovert,Low,Frequent
No,4,Yes,12,4,Extrovert,Medium,Moderate
No,7,Yes,6,3,Extrovert,Low,Frequent
Yes,4,No,14,10,Extrovert,Medium,Moderate
No,6,No,7,9,Extrovert,Low,Moderate
Yes,1,Yes,1,1,Introvert,Medium,Rare
Yes,0,Yes,8,4,Introvert,High,Rare
No,4,No,8,8,Extrovert,Medium,Moderate
Yes,3,No,15,3,Extrovert,Medium,Frequent
Yes,0,Yes,6,6,Introvert,High,Moderate
No,3,No,5,5,Extrovert,Low,Moderate
No,1,Yes,8,2,Introvert,High,Rare
Yes,6,No,14,3,Extrovert,Low,Moderate
Yes,3,Yes,6,5,Introvert,Medium,Moderate
Yes,4,Yes,6,6,Introvert,Medium,Rare
Yes,5,No,8,7,Extrovert,Low,Moderate
No,7,No,9,6,Extrovert,Medium,Frequent
Yes,3,Yes,1,0,Introvert,Medium,Rare
Yes,5,No,14,9,Extrovert,Low,Frequent
No,4,No,12,6,Extrovert,Medium,Moderate
No,0,Yes,9,6,Introvert,Medium,Moderate
No,7,Yes,13,4,Extrovert,Medium,Frequent
No,3,Yes,12,10,Extrovert,Medium,Moderate
No,3,Yes,2,3,Introvert,Low,Moderate
Yes,2,Yes,0,6,Introvert,High,Rare
No,3,Yes,6,4,Introvert,Medium,Rare
No,5,No,15,4,Extrovert,Medium,Frequent
No,3,Yes,7,9,Extrovert,Medium,Moderate
No,7,Yes,5,5,Extrovert,Low,Frequent
Yes,4,No,11,7,Extrovert,Low,Moderate
No,3,No,7,0,Introvert,Medium,Rare
No,7,No,6,6,Extrovert,Medium,Moderate
No,4,No,14,5,Extrovert,Low,Frequent
No,1,Yes,2,1,Introvert,High,Rare
No,6,No,9,7,Extrovert,Medium,Frequent
No,4,No,13,9,Extrovert,Medium,Frequent
Yes,2,Yes,6,3,Introvert,Low,Rare
Yes,3,Yes,9,6,Extrovert,Medium,Moderate
No,0,Yes,5,3,Introvert,High,Moderate
Yes,4,Yes,4,1,Introvert,Medium,Rare
No,5,No,11,4,Extrovert,Low,Moderate
Yes,2,Yes,4,3,Introvert,Medium,Rare
No,4,Yes,7,1,Introvert,Low,Rare
No,3,Yes,4,2,Introvert,High,Moderate
No,3,Yes,9,0,Introvert,Medium,Moderate
Yes,3,Yes,0,5,Introvert,High,Rare
Yes,2,Yes,5,0,Introvert,High,Rare
No,4,No,8,7,Extrovert,Medium,Frequent
Yes,4,No,1,3,Introvert,Medium,Rare
No,5,No,13,4,Extrovert,Low,Frequent
No,0,Yes,8,2,Introvert,Medium,Moderate
No,5,No,5,6,Extrovert,Low,Frequent
No,3,Yes,3,3,Introvert,High,Moderate
Yes,4,Yes,2,6,Introvert,High,Moderate
No,7,No,9,8,Extrovert,Low,Frequent
No,7,Yes,14,10,Extrovert,Low,Frequent
No,4,No,9,7,Extrovert,Medium,Frequent
Yes,0,No,4,3,Introvert,Medium,Rare
No,3,Yes,1,2,Introvert,High,Moderate
No,4,Yes,5,3,Extrovert,Medium,Frequent
Yes,0,Yes,0,1,Introvert,Low,Rare
Yes,1,Yes,5,0,Introvert,High,Rare
No,5,No,5,9,Extrovert,Low,Frequent
No,5,No,7,10,Extrovert,Medium,Frequent
Yes,4,No,8,5,Extrovert,Low,Frequent
Yes,2,No,4,4,Introvert,Medium,Rare
Yes,3,Yes,7,0,Introvert,High,Rare
No,3,No,8,8,Extrovert,Low,Moderate
Yes,4,No,8,6,Extrovert,Low,Frequent
No,6,No,14,9,Extrovert,Low,Frequent
No,5,No,14,3,Extrovert,Low,Moderate
No,4,Yes,2,5,Introvert,High,Rare
No,3,No,6,7,Extrovert,Medium,Frequent
No,6,No,10,8,Extrovert,Medium,Frequent
