Age,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,ComputerSkills,Employed
<35,No,Master,1,Man,No,Dev,7,4,4,0
<35,No,Undergraduate,1,Man,No,Dev,12,5,12,1
<35,No,Master,1,Man,No,Dev,15,6,7,0
<35,No,Undergraduate,1,Man,No,Dev,9,6,13,0
>35,No,PhD,0,Man,No,NotDev,40,30,2,0
<35,No,Master,1,Man,No,Dev,9,2,5,0
>35,No,Master,1,Man,No,Dev,26,18,17,1
<35,No,Master,1,Man,No,NotDev,14,5,4,0
>35,No,Undergraduate,1,Man,No,Dev,39,21,3,0
>35,No,Master,1,Man,No,Dev,20,16,6,0
<35,No,Undergraduate,1,Man,Yes,Dev,4,2,18,1
<35,No,Undergraduate,1,Man,Yes,Dev,6,2,13,1
<35,No,Master,1,Man,No,Dev,19,10,5,0
<35,No,Undergraduate,1,Man,No,Dev,8,0,7,0
<35,No,Master,1,Man,No,NotDev,6,3,5,0
>35,No,Undergraduate,1,Man,Yes,Dev,22,15,16,1
<35,No,Other,1,Man,Yes,Dev,7,1,5,0
<35,No,Undergraduate,1,Man,No,Dev,12,6,25,1
>35,No,Master,1,Man,Yes,Dev,34,12,14,1
>35,No,Master,1,Man,No,Dev,21,16,17,1
<35,No,Other,1,Man,No,NotDev,5,3,12,0
>35,Yes,Other,1,Man,Yes,Dev,25,10,6,0
>35,No,Master,1,Man,No,Dev,20,10,7,1
>35,No,Undergraduate,1,Man,No,Dev,24,18,12,0
<35,No,Master,1,Man,No,NotDev,10,2,7,0
>35,No,Undergraduate,1,Man,No,Dev,25,15,6,0
<35,No,Undergraduate,1,Man,No,NotDev,12,8,39,1
>35,No,PhD,1,Man,No,Dev,10,8,8,0
>35,No,Undergraduate,1,Man,No,NotDev,10,3,8,0
<35,No,Undergraduate,0,Man,No,Dev,12,7,24,1
<35,No,Master,1,Man,No,Dev,25,6,21,1
>35,No,Other,1,Man,No,Dev,31,17,10,1
<35,No,PhD,1,Man,No,Dev,18,1,8,0
>35,No,Undergraduate,1,Man,No,Dev,26,14,10,1
<35,No,NoHigherEd,1,Man,Yes,NotDev,20,10,17,1
<35,No,Undergraduate,1,Man,No,Dev,10,4,21,1
<35,No,Master,1,Man,No,Dev,10,7,4,0
<35,No,Master,0,Man,No,Dev,8,3,11,0
<35,No,Other,0,Man,Yes,Dev,18,8,18,1
<35,No,Undergraduate,1,Man,No,Dev,4,1,5,0
>35,Yes,Master,1,Man,No,Dev,38,26,14,1
<35,No,Undergraduate,1,Man,No,Dev,10,3,8,1
<35,No,Undergraduate,1,Man,No,Dev,10,8,13,1
<35,No,Undergraduate,1,Man,No,Dev,8,3,11,0
<35,No,Other,0,Man,No,Dev,6,1,33,1
<35,No,Master,1,Man,No,Dev,13,2,17,1
<35,No,Undergraduate,1,Man,No,Dev,10,2,17,1
<35,No,NoHigherEd,1,Man,No,Dev,3,0,8,0
<35,No,Undergraduate,1,Man,No,Dev,12,6,14,1
<35,No,Other,1,Man,No,Dev,6,4,26,1
>35,No,Other,1,Man,Yes,NotDev,6,5,7,0
<35,No,Master,0,Man,No,Dev,17,8,7,0
<35,No,Undergraduate,1,Man,No,Dev,7,1,10,1
>35,No,Master,0,Man,Yes,Dev,27,16,19,1
<35,No,Undergraduate,1,Man,No,Dev,17,5,23,1
<35,No,Undergraduate,1,Man,Yes,Dev,1,3,20,1
<35,No,Other,0,Man,No,Dev,5,3,28,1
