Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline,Successful_Attack,Improvement_Over_Baseline
insurance,SEX,XGBoost,Underfitted,Train,0.4934579439252336,0.5,0.5052316890881914,False,0.9766963446330806
insurance,SEX,XGBoost,Underfitted,Test,0.5,0.5,0.5052316890881914,False,0.9896449704142011
insurance,SEX,XGBoost,Optimal,Train,0.4981308411214953,0.5,0.5052316890881914,False,0.9859453630481666
insurance,SEX,XGBoost,Optimal,Test,0.458955223880597,0.5,0.5052316890881914,False,0.9084054579175129
insurance,SEX,XGBoost,Overfitted,Train,0.5364485981308411,0.5,0.5052316890881914,True,1.0617873140518719
insurance,SEX,XGBoost,Overfitted,Test,0.4888059701492537,0.5,0.5052316890881914,False,0.9674887397332861
insurance,SEX,DecisionTree,Underfitted,Train,0.4934579439252336,0.5,0.5052316890881914,False,0.9766963446330806
insurance,SEX,DecisionTree,Underfitted,Test,0.5,0.5,0.5052316890881914,False,0.9896449704142011
insurance,SEX,DecisionTree,Optimal,Train,0.502803738317757,0.5,0.5052316890881914,False,0.9951943814632528
insurance,SEX,DecisionTree,Optimal,Test,0.4850746268656716,0.5,0.5052316890881914,False,0.9601033295063144
insurance,SEX,DecisionTree,Overfitted,Train,0.4822429906542056,0.5,0.5052316890881914,False,0.9544987004368743
insurance,SEX,DecisionTree,Overfitted,Test,0.5149253731343284,0.5,0.5052316890881914,True,1.0191866113220878
insurance,SEX,RandomForest,Underfitted,Train,0.5018691588785047,0.5,0.5052316890881914,False,0.9933445777802355
insurance,SEX,RandomForest,Underfitted,Test,0.4888059701492537,0.5,0.5052316890881914,False,0.9674887397332861
insurance,SEX,RandomForest,Optimal,Train,0.594392523364486,0.5,0.5052316890881914,True,1.1764751423989381
insurance,SEX,RandomForest,Optimal,Test,0.4925373134328358,0.5,0.5052316890881914,False,0.9748741499602578
insurance,SEX,RandomForest,Overfitted,Train,0.625233644859813,0.5,0.5052316890881914,True,1.2375186639385056
insurance,SEX,RandomForest,Overfitted,Test,0.4776119402985074,0.5,0.5052316890881914,False,0.9453325090523711
insurance,SEX,NeuralNetwork,Underfitted,Train,0.5233644859813084,0.5,0.5052316890881914,True,1.035890062489631
insurance,SEX,NeuralNetwork,Underfitted,Test,0.4776119402985074,0.5,0.5052316890881914,False,0.9453325090523711
