Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline
insurance,SEX,XGBoost,Underfitted,Train,0.4934579439252336,0.5,0.5052316890881914
insurance,SEX,XGBoost,Underfitted,Test,0.5,0.5,0.5052316890881914
insurance,SEX,XGBoost,Optimal,Train,0.4981308411214953,0.5,0.5052316890881914
insurance,SEX,XGBoost,Optimal,Test,0.458955223880597,0.5,0.5052316890881914
insurance,SEX,XGBoost,Overfitted,Train,0.5364485981308411,0.5,0.5052316890881914
insurance,SEX,XGBoost,Overfitted,Test,0.48880597014925375,0.5,0.5052316890881914
insurance,SEX,DecisionTree,Underfitted,Train,0.4934579439252336,0.5,0.5052316890881914
insurance,SEX,DecisionTree,Underfitted,Test,0.5,0.5,0.5052316890881914
insurance,SEX,DecisionTree,Optimal,Train,0.502803738317757,0.5,0.5052316890881914
insurance,SEX,DecisionTree,Optimal,Test,0.48507462686567165,0.5,0.5052316890881914
insurance,SEX,DecisionTree,Overfitted,Train,0.4822429906542056,0.5,0.5052316890881914
insurance,SEX,DecisionTree,Overfitted,Test,0.5149253731343284,0.5,0.5052316890881914
insurance,SEX,RandomForest,Underfitted,Train,0.5018691588785047,0.5,0.5052316890881914
insurance,SEX,RandomForest,Underfitted,Test,0.48880597014925375,0.5,0.5052316890881914
insurance,SEX,RandomForest,Optimal,Train,0.594392523364486,0.5,0.5052316890881914
insurance,SEX,RandomForest,Optimal,Test,0.4925373134328358,0.5,0.5052316890881914
insurance,SEX,RandomForest,Overfitted,Train,0.625233644859813,0.5,0.5052316890881914
insurance,SEX,RandomForest,Overfitted,Test,0.47761194029850745,0.5,0.5052316890881914
insurance,SEX,NeuralNetwork,Underfitted,Train,0.5233644859813084,0.5,0.5052316890881914
insurance,SEX,NeuralNetwork,Underfitted,Test,0.47761194029850745,0.5,0.5052316890881914
insurance,SEX,NeuralNetwork,Optimal,Train,0.5112149532710281,0.5,0.5052316890881914
insurance,SEX,NeuralNetwork,Optimal,Test,0.45149253731343286,0.5,0.5052316890881914
insurance,SEX,NeuralNetwork,Overfitted,Train,0.48411214953271026,0.5,0.5052316890881914
insurance,SEX,NeuralNetwork,Overfitted,Test,0.4962686567164179,0.5,0.5052316890881914
insurance,SMOKER,XGBoost,Underfitted,Train,0.2046728971962617,0.5,0.7952167414050823
insurance,SMOKER,XGBoost,Underfitted,Test,0.20522388059701493,0.5,0.7952167414050823
insurance,SMOKER,XGBoost,Optimal,Train,0.2738317757009346,0.5,0.7952167414050823
insurance,SMOKER,XGBoost,Optimal,Test,0.2835820895522388,0.5,0.7952167414050823
insurance,SMOKER,XGBoost,Overfitted,Train,0.4009345794392523,0.5,0.7952167414050823
insurance,SMOKER,XGBoost,Overfitted,Test,0.3358208955223881,0.5,0.7952167414050823
insurance,SMOKER,DecisionTree,Underfitted,Train,0.3542056074766355,0.5,0.7952167414050823
insurance,SMOKER,DecisionTree,Underfitted,Test,0.3843283582089552,0.5,0.7952167414050823
insurance,SMOKER,DecisionTree,Optimal,Train,0.2560747663551402,0.5,0.7952167414050823
insurance,SMOKER,DecisionTree,Optimal,Test,0.27611940298507465,0.5,0.7952167414050823
insurance,SMOKER,DecisionTree,Overfitted,Train,0.2046728971962617,0.5,0.7952167414050823
insurance,SMOKER,DecisionTree,Overfitted,Test,0.20522388059701493,0.5,0.7952167414050823
insurance,SMOKER,RandomForest,Underfitted,Train,0.2177570093457944,0.5,0.7952167414050823
insurance,SMOKER,RandomForest,Underfitted,Test,0.21641791044776118,0.5,0.7952167414050823
insurance,SMOKER,RandomForest,Optimal,Train,0.3233644859813084,0.5,0.7952167414050823
insurance,SMOKER,RandomForest,Optimal,Test,0.2947761194029851,0.5,0.7952167414050823
insurance,SMOKER,RandomForest,Overfitted,Train,0.5579439252336449,0.5,0.7952167414050823
insurance,SMOKER,RandomForest,Overfitted,Test,0.3805970149253731,0.5,0.7952167414050823
insurance,SMOKER,NeuralNetwork,Underfitted,Train,0.5261682242990654,0.5,0.7952167414050823
insurance,SMOKER,NeuralNetwork,Underfitted,Test,0.4664179104477612,0.5,0.7952167414050823
insurance,SMOKER,NeuralNetwork,Optimal,Train,0.2738317757009346,0.5,0.7952167414050823
insurance,SMOKER,NeuralNetwork,Optimal,Test,0.23134328358208955,0.5,0.7952167414050823
insurance,SMOKER,NeuralNetwork,Overfitted,Train,0.24485981308411214,0.5,0.7952167414050823
insurance,SMOKER,NeuralNetwork,Overfitted,Test,0.23880597014925373,0.5,0.7952167414050823
insurance,REGION,XGBoost,Underfitted,Train,0.2757009345794392,0.25,0.27204783258594917
insurance,REGION,XGBoost,Underfitted,Test,0.29850746268656714,0.25,0.27204783258594917
insurance,REGION,XGBoost,Optimal,Train,0.29906542056074764,0.25,0.27204783258594917
insurance,REGION,XGBoost,Optimal,Test,0.20522388059701493,0.25,0.27204783258594917
insurance,REGION,XGBoost,Overfitted,Train,0.3149532710280374,0.25,0.27204783258594917
insurance,REGION,XGBoost,Overfitted,Test,0.2537313432835821,0.25,0.27204783258594917
insurance,REGION,DecisionTree,Underfitted,Train,0.24018691588785046,0.25,0.27204783258594917
insurance,REGION,DecisionTree,Underfitted,Test,0.2537313432835821,0.25,0.27204783258594917
insurance,REGION,DecisionTree,Optimal,Train,0.2411214953271028,0.25,0.27204783258594917
insurance,REGION,DecisionTree,Optimal,Test,0.25,0.25,0.27204783258594917
insurance,REGION,DecisionTree,Overfitted,Train,0.23644859813084113,0.25,0.27204783258594917
insurance,REGION,DecisionTree,Overfitted,Test,0.26492537313432835,0.25,0.27204783258594917
insurance,REGION,RandomForest,Underfitted,Train,0.28785046728971964,0.25,0.27204783258594917
insurance,REGION,RandomForest,Underfitted,Test,0.26492537313432835,0.25,0.27204783258594917
insurance,REGION,RandomForest,Optimal,Train,0.33457943925233646,0.25,0.27204783258594917
insurance,REGION,RandomForest,Optimal,Test,0.20522388059701493,0.25,0.27204783258594917
insurance,REGION,RandomForest,Overfitted,Train,0.42710280373831777,0.25,0.27204783258594917
insurance,REGION,RandomForest,Overfitted,Test,0.23880597014925373,0.25,0.27204783258594917
insurance,REGION,NeuralNetwork,Underfitted,Train,0.27289719626168224,0.25,0.27204783258594917
insurance,REGION,NeuralNetwork,Underfitted,Test,0.208955223880597,0.25,0.27204783258594917
insurance,REGION,NeuralNetwork,Optimal,Train,0.28317757009345795,0.25,0.27204783258594917
insurance,REGION,NeuralNetwork,Optimal,Test,0.19029850746268656,0.25,0.27204783258594917
insurance,REGION,NeuralNetwork,Overfitted,Train,0.29345794392523367,0.25,0.27204783258594917
