Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline
occupation,Gender,XGBoost,Underfitted,Train,0.389,0.5,0.677
occupation,Gender,XGBoost,Underfitted,Test,0.378,0.5,0.677
occupation,Gender,XGBoost,Optimal,Train,0.3925,0.5,0.677
occupation,Gender,XGBoost,Optimal,Test,0.379,0.5,0.677
occupation,Gender,XGBoost,Overfitted,Train,0.46575,0.5,0.677
occupation,Gender,XGBoost,Overfitted,Test,0.425,0.5,0.677
occupation,Gender,DecisionTree,Underfitted,Train,0.672,0.5,0.677
occupation,Gender,DecisionTree,Underfitted,Test,0.697,0.5,0.677
occupation,Gender,DecisionTree,Optimal,Train,0.44125,0.5,0.677
occupation,Gender,DecisionTree,Optimal,Test,0.443,0.5,0.677
occupation,Gender,DecisionTree,Overfitted,Train,0.59625,0.5,0.677
occupation,Gender,DecisionTree,Overfitted,Test,0.609,0.5,0.677
occupation,Gender,RandomForest,Underfitted,Train,0.347,0.5,0.677
occupation,Gender,RandomForest,Underfitted,Test,0.327,0.5,0.677
occupation,Gender,RandomForest,Optimal,Train,0.418,0.5,0.677
occupation,Gender,RandomForest,Optimal,Test,0.39,0.5,0.677
occupation,Gender,RandomForest,Overfitted,Train,0.55175,0.5,0.677
occupation,Gender,RandomForest,Overfitted,Test,0.482,0.5,0.677
occupation,Gender,NeuralNetwork,Underfitted,Train,0.389,0.5,0.677
occupation,Gender,NeuralNetwork,Underfitted,Test,0.38,0.5,0.677
occupation,Gender,NeuralNetwork,Optimal,Train,0.39675,0.5,0.677
occupation,Gender,NeuralNetwork,Optimal,Test,0.405,0.5,0.677
occupation,Gender,NeuralNetwork,Overfitted,Train,0.4405,0.5,0.677
occupation,Gender,NeuralNetwork,Overfitted,Test,0.403,0.5,0.677
occupation,Race,XGBoost,Underfitted,Train,0.85025,0.2,0.8492
occupation,Race,XGBoost,Underfitted,Test,0.845,0.2,0.8492
occupation,Race,XGBoost,Optimal,Train,0.03975,0.2,0.8492
occupation,Race,XGBoost,Optimal,Test,0.04,0.2,0.8492
occupation,Race,XGBoost,Overfitted,Train,0.252,0.2,0.8492
occupation,Race,XGBoost,Overfitted,Test,0.239,0.2,0.8492
occupation,Race,DecisionTree,Underfitted,Train,0.85025,0.2,0.8492
occupation,Race,DecisionTree,Underfitted,Test,0.845,0.2,0.8492
occupation,Race,DecisionTree,Optimal,Train,0.85025,0.2,0.8492
occupation,Race,DecisionTree,Optimal,Test,0.845,0.2,0.8492
occupation,Race,DecisionTree,Overfitted,Train,0.69825,0.2,0.8492
occupation,Race,DecisionTree,Overfitted,Test,0.708,0.2,0.8492
occupation,Race,RandomForest,Underfitted,Train,0.106,0.2,0.8492
occupation,Race,RandomForest,Underfitted,Test,0.108,0.2,0.8492
occupation,Race,RandomForest,Optimal,Train,0.2005,0.2,0.8492
occupation,Race,RandomForest,Optimal,Test,0.178,0.2,0.8492
occupation,Race,RandomForest,Overfitted,Train,0.59025,0.2,0.8492
occupation,Race,RandomForest,Overfitted,Test,0.487,0.2,0.8492
occupation,Race,NeuralNetwork,Underfitted,Train,0.09775,0.2,0.8492
occupation,Race,NeuralNetwork,Underfitted,Test,0.113,0.2,0.8492
occupation,Race,NeuralNetwork,Optimal,Train,0.042,0.2,0.8492
occupation,Race,NeuralNetwork,Optimal,Test,0.045,0.2,0.8492
occupation,Race,NeuralNetwork,Overfitted,Train,0.037,0.2,0.8492
occupation,Race,NeuralNetwork,Overfitted,Test,0.027,0.2,0.8492
