Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline
personality,Stage_fear,XGBoost,Underfitted,Train,0.76,0.5,0.5518
personality,Stage_fear,XGBoost,Underfitted,Test,0.723,0.5,0.5518
personality,Stage_fear,XGBoost,Optimal,Train,0.74975,0.5,0.5518
personality,Stage_fear,XGBoost,Optimal,Test,0.72,0.5,0.5518
personality,Stage_fear,XGBoost,Overfitted,Train,0.713,0.5,0.5518
personality,Stage_fear,XGBoost,Overfitted,Test,0.682,0.5,0.5518
personality,Stage_fear,DecisionTree,Underfitted,Train,0.4545,0.5,0.5518
personality,Stage_fear,DecisionTree,Underfitted,Test,0.423,0.5,0.5518
personality,Stage_fear,DecisionTree,Optimal,Train,0.4565,0.5,0.5518
personality,Stage_fear,DecisionTree,Optimal,Test,0.436,0.5,0.5518
personality,Stage_fear,DecisionTree,Overfitted,Train,0.45475,0.5,0.5518
personality,Stage_fear,DecisionTree,Overfitted,Test,0.427,0.5,0.5518
personality,Stage_fear,RandomForest,Underfitted,Train,0.64175,0.5,0.5518
personality,Stage_fear,RandomForest,Underfitted,Test,0.571,0.5,0.5518
personality,Stage_fear,RandomForest,Optimal,Train,0.6265,0.5,0.5518
personality,Stage_fear,RandomForest,Optimal,Test,0.581,0.5,0.5518
personality,Stage_fear,RandomForest,Overfitted,Train,0.57625,0.5,0.5518
personality,Stage_fear,RandomForest,Overfitted,Test,0.541,0.5,0.5518
personality,Stage_fear,NeuralNetwork,Underfitted,Train,0.757,0.5,0.5518
personality,Stage_fear,NeuralNetwork,Underfitted,Test,0.726,0.5,0.5518
personality,Stage_fear,NeuralNetwork,Optimal,Train,0.65675,0.5,0.5518
personality,Stage_fear,NeuralNetwork,Optimal,Test,0.611,0.5,0.5518
personality,Stage_fear,NeuralNetwork,Overfitted,Train,0.577,0.5,0.5518
personality,Stage_fear,NeuralNetwork,Overfitted,Test,0.559,0.5,0.5518
personality,Drained_after_socializing,XGBoost,Underfitted,Train,0.737,0.5,0.5506
personality,Drained_after_socializing,XGBoost,Underfitted,Test,0.754,0.5,0.5506
personality,Drained_after_socializing,XGBoost,Optimal,Train,0.694,0.5,0.5506
personality,Drained_after_socializing,XGBoost,Optimal,Test,0.698,0.5,0.5506
personality,Drained_after_socializing,XGBoost,Overfitted,Train,0.657,0.5,0.5506
personality,Drained_after_socializing,XGBoost,Overfitted,Test,0.646,0.5,0.5506
