Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline
stackoverflow,EdLevel,XGBoost,Underfitted,Train,0.0525,0.2,0.51
stackoverflow,EdLevel,XGBoost,Underfitted,Test,0.052,0.2,0.51
stackoverflow,EdLevel,XGBoost,Optimal,Train,0.0535,0.2,0.51
stackoverflow,EdLevel,XGBoost,Optimal,Test,0.051,0.2,0.51
stackoverflow,EdLevel,XGBoost,Overfitted,Train,0.26575,0.2,0.51
stackoverflow,EdLevel,XGBoost,Overfitted,Test,0.205,0.2,0.51
stackoverflow,EdLevel,DecisionTree,Underfitted,Train,0.0525,0.2,0.51
stackoverflow,EdLevel,DecisionTree,Underfitted,Test,0.052,0.2,0.51
stackoverflow,EdLevel,DecisionTree,Optimal,Train,0.10775,0.2,0.51
stackoverflow,EdLevel,DecisionTree,Optimal,Test,0.111,0.2,0.51
stackoverflow,EdLevel,DecisionTree,Overfitted,Train,0.05625,0.2,0.51
stackoverflow,EdLevel,DecisionTree,Overfitted,Test,0.052,0.2,0.51
stackoverflow,EdLevel,RandomForest,Underfitted,Train,0.18975,0.2,0.51
stackoverflow,EdLevel,RandomForest,Underfitted,Test,0.208,0.2,0.51
stackoverflow,EdLevel,RandomForest,Optimal,Train,0.221,0.2,0.51
stackoverflow,EdLevel,RandomForest,Optimal,Test,0.186,0.2,0.51
stackoverflow,EdLevel,RandomForest,Overfitted,Train,0.50225,0.2,0.51
stackoverflow,EdLevel,RandomForest,Overfitted,Test,0.259,0.2,0.51
stackoverflow,EdLevel,NeuralNetwork,Underfitted,Train,0.20525,0.2,0.51
stackoverflow,EdLevel,NeuralNetwork,Underfitted,Test,0.197,0.2,0.51
stackoverflow,EdLevel,NeuralNetwork,Optimal,Train,0.06125,0.2,0.51
stackoverflow,EdLevel,NeuralNetwork,Optimal,Test,0.085,0.2,0.51
stackoverflow,EdLevel,NeuralNetwork,Overfitted,Train,0.053,0.2,0.51
stackoverflow,EdLevel,NeuralNetwork,Overfitted,Test,0.072,0.2,0.51
stackoverflow,Age,XGBoost,Underfitted,Train,0.64825,0.5,0.6556
stackoverflow,Age,XGBoost,Underfitted,Test,0.685,0.5,0.6556
stackoverflow,Age,XGBoost,Optimal,Train,0.6095,0.5,0.6556
stackoverflow,Age,XGBoost,Optimal,Test,0.663,0.5,0.6556
stackoverflow,Age,XGBoost,Overfitted,Train,0.5405,0.5,0.6556
stackoverflow,Age,XGBoost,Overfitted,Test,0.444,0.5,0.6556
stackoverflow,Age,DecisionTree,Underfitted,Train,0.64825,0.5,0.6556
stackoverflow,Age,DecisionTree,Underfitted,Test,0.685,0.5,0.6556
stackoverflow,Age,DecisionTree,Optimal,Train,0.64825,0.5,0.6556
stackoverflow,Age,DecisionTree,Optimal,Test,0.685,0.5,0.6556
stackoverflow,Age,DecisionTree,Overfitted,Train,0.62225,0.5,0.6556
stackoverflow,Age,DecisionTree,Overfitted,Test,0.668,0.5,0.6556
stackoverflow,Age,RandomForest,Underfitted,Train,0.474,0.5,0.6556
stackoverflow,Age,RandomForest,Underfitted,Test,0.486,0.5,0.6556
stackoverflow,Age,RandomForest,Optimal,Train,0.62625,0.5,0.6556
stackoverflow,Age,RandomForest,Optimal,Test,0.569,0.5,0.6556
stackoverflow,Age,RandomForest,Overfitted,Train,0.809,0.5,0.6556
stackoverflow,Age,RandomForest,Overfitted,Test,0.605,0.5,0.6556
stackoverflow,Age,NeuralNetwork,Underfitted,Train,0.55875,0.5,0.6556
stackoverflow,Age,NeuralNetwork,Underfitted,Test,0.558,0.5,0.6556
stackoverflow,Age,NeuralNetwork,Optimal,Train,0.4555,0.5,0.6556
stackoverflow,Age,NeuralNetwork,Optimal,Test,0.423,0.5,0.6556
stackoverflow,Age,NeuralNetwork,Overfitted,Train,0.37,0.5,0.6556
stackoverflow,Age,NeuralNetwork,Overfitted,Test,0.38,0.5,0.6556
stackoverflow,MentalHealth,XGBoost,Underfitted,Train,0.7765,0.5,0.7768
stackoverflow,MentalHealth,XGBoost,Underfitted,Test,0.778,0.5,0.7768
stackoverflow,MentalHealth,XGBoost,Optimal,Train,0.69425,0.5,0.7768
stackoverflow,MentalHealth,XGBoost,Optimal,Test,0.708,0.5,0.7768
stackoverflow,MentalHealth,XGBoost,Overfitted,Train,0.5675,0.5,0.7768
stackoverflow,MentalHealth,XGBoost,Overfitted,Test,0.492,0.5,0.7768
stackoverflow,MentalHealth,DecisionTree,Underfitted,Train,0.7765,0.5,0.7768
stackoverflow,MentalHealth,DecisionTree,Underfitted,Test,0.778,0.5,0.7768
stackoverflow,MentalHealth,DecisionTree,Optimal,Train,0.704,0.5,0.7768
stackoverflow,MentalHealth,DecisionTree,Optimal,Test,0.715,0.5,0.7768
stackoverflow,MentalHealth,DecisionTree,Overfitted,Train,0.744,0.5,0.7768
stackoverflow,MentalHealth,DecisionTree,Overfitted,Test,0.76,0.5,0.7768
stackoverflow,MentalHealth,RandomForest,Underfitted,Train,0.53975,0.5,0.7768
stackoverflow,MentalHealth,RandomForest,Underfitted,Test,0.538,0.5,0.7768
stackoverflow,MentalHealth,RandomForest,Optimal,Train,0.57525,0.5,0.7768
stackoverflow,MentalHealth,RandomForest,Optimal,Test,0.54,0.5,0.7768
stackoverflow,MentalHealth,RandomForest,Overfitted,Train,0.7605,0.5,0.7768
stackoverflow,MentalHealth,RandomForest,Overfitted,Test,0.563,0.5,0.7768
stackoverflow,MentalHealth,NeuralNetwork,Underfitted,Train,0.4805,0.5,0.7768
stackoverflow,MentalHealth,NeuralNetwork,Underfitted,Test,0.472,0.5,0.7768
stackoverflow,MentalHealth,NeuralNetwork,Optimal,Train,0.56625,0.5,0.7768
stackoverflow,MentalHealth,NeuralNetwork,Optimal,Test,0.557,0.5,0.7768
stackoverflow,MentalHealth,NeuralNetwork,Overfitted,Train,0.4125,0.5,0.7768
stackoverflow,MentalHealth,NeuralNetwork,Overfitted,Test,0.414,0.5,0.7768
